ANALYSIS OF PREDICTION OF REFACTORING IN CLASSES
Performed on:,2020-03-14 01:42:34.2738935Z
Repository url:,https://github.com/Cognifide/aet.git
Commit range:,b787aa4d4342673e4195c7567d90895f15720cd3,401b73220c482d44240ed9179f82c2dd88f83552
Number of commits detected in the range:,1597

REFACTORINGS
Total number of refactorings detected:,1560,1560
Refactorings related to classes:,156
Number of EXTRACT_SUBCLASS:,0
Number of PUSH_DOWN_OPERATION:,0
Number of MOVE_AND_INLINE_OPERATION:,1
Number of MOVE_OPERATION:,37
Number of EXTRACT_CLASS:,21
Number of EXTRACT_AND_MOVE_OPERATION:,10
Number of MOVE_ATTRIBUTE:,68
Number of PULL_UP_OPERATION:,3
Number of MOVE_AND_RENAME_OPERATION:,10
Number of EXTRACT_SUPERCLASS:,6
Refactorings on the initial commit were ignored

SMELLS
Initial number of commits to begin analysis:,1
Threshold derivation techniques:,5,"[A, V, X, D, R]"
Smells on the final commit were ignored
Unconfirmed predictions that were repeated following commit were ignored


"CLASS LONGA [EXTRACT_SUBCLASS, PUSH_DOWN_OPERATION, MOVE_AND_INLINE_OPERATION, MOVE_OPERATION, EXTRACT_CLASS, EXTRACT_AND_MOVE_OPERATION, MOVE_ATTRIBUTE, PULL_UP_OPERATION, MOVE_AND_RENAME_OPERATION, EXTRACT_SUPERCLASS]"
Classes with the Class Longa smell in the first commit (A) = ,8
Classes without the Class Longa smell in the first commit (A) = ,394
Classes with the Class Longa smell in the first commit (V) = ,0
Classes without the Class Longa smell in the first commit (V) = ,402
Classes with the Class Longa smell in the first commit (X) = ,8
Classes without the Class Longa smell in the first commit (X) = ,394
Classes with the Class Longa smell in the first commit (D) = ,8
Classes without the Class Longa smell in the first commit (D) = ,394
Classes with the Class Longa smell in the first commit (R) = ,8
Classes without the Class Longa smell in the first commit (R) = ,394
Total number of refactorings = ,156
Observed Positives (A) = ,156
Observed Positives (D) = ,156
Observed Positives (R) = ,156
Observed Positives (V) = ,156
Observed Positives (X) = ,156
Average of Observed Positives = ,156.0
Positive Predictions (A) = ,8
Positive Predictions (D) = ,8
Positive Predictions (R) = ,8
Positive Predictions (V) = ,0
Positive Predictions (X) = ,8
Average of Positive Predictions = ,6.4
Average of Predicted Over Average of Observed = ,0.041025642
Sample Size (A) = ,557
Sample Size (D) = ,557
Sample Size (R) = ,557
Sample Size (V) = ,558
Sample Size (X) = ,557
True Negative (A) = ,394
True Negative (D) = ,394
True Negative (R) = ,394
True Negative (V) = ,402
True Negative (X) = ,394
False Negative (A) = ,155
False Negative (D) = ,155
False Negative (R) = ,155
False Negative (V) = ,156
False Negative (X) = ,155
True Positive (A) = ,1
True Positive (D) = ,1
True Positive (R) = ,1
True Positive (V) = ,0
True Positive (X) = ,1
False Positive (A) = ,7
False Positive (D) = ,7
False Positive (R) = ,7
False Positive (V) = ,0
False Positive (X) = ,7
Accuracy (A) = ,0.7091562
Accuracy (D) = ,0.7091562
Accuracy (R) = ,0.7091562
Accuracy (V) = ,0.72043014
Accuracy (X) = ,0.7091562
Precision (A) = ,0.125
Precision (D) = ,0.125
Precision (R) = ,0.125
Precision (V) = ,NaN
Precision (X) = ,0.125
Recall (A) = ,0.0064102565
Recall (D) = ,0.0064102565
Recall (R) = ,0.0064102565
Recall (V) = ,0.0
Recall (X) = ,0.0064102565
F1-measure (A) = ,0.012195122
F1-measure (D) = ,0.012195122
F1-measure (R) = ,0.012195122
F1-measure (V) = ,NaN
F1-measure (X) = ,0.012195122
Matthews Correlation Coefficient (A) = ,-0.041688126
Matthews Correlation Coefficient (D) = ,-0.041688126
Matthews Correlation Coefficient (R) = ,-0.041688126
Matthews Correlation Coefficient (V) = ,NaN
Matthews Correlation Coefficient (X) = ,-0.041688126
Kappa (A) = ,-0.015553981
Kappa (D) = ,-0.015553981
Kappa (R) = ,-0.015553981
Kappa (V) = ,0.0
Kappa (X) = ,-0.015553981
Tau (A) = ,0.41831243
Tau (D) = ,0.41831243
Tau (R) = ,0.41831243
Tau (V) = ,0.44086027
Tau (X) = ,0.41831243
AuC (A) = ,0.49447694
AuC (D) = ,0.49447694
AuC (R) = ,0.49447694
AuC (V) = ,0.5
AuC (X) = ,0.49447694
