ANALYSIS OF PREDICTION OF REFACTORING IN METHODS
Performed on:,2020-03-14 01:42:43.1271095Z
Repository url:,https://github.com/Cognifide/aet.git
Commit range:,b787aa4d4342673e4195c7567d90895f15720cd3,401b73220c482d44240ed9179f82c2dd88f83552
Number of commits detected in the range:,1597

REFACTORINGS
Total number of refactorings detected:,1560,1560
Refactorings related to methods:,123
Number of EXTRACT_OPERATION:,66
Number of MOVE_OPERATION:,37
Number of EXTRACT_AND_MOVE_OPERATION:,10
Number of MOVE_AND_RENAME_OPERATION:,10
Number of CHANGE_METHOD_SIGNATURE:,0
Refactorings on the initial commit were ignored

SMELLS
Initial number of commits to begin analysis:,1
Threshold derivation techniques:,5,"[A, V, X, D, R]"
Smells on the final commit were ignored
Unconfirmed predictions that were repeated following commit were ignored


"METODO LONGO [EXTRACT_OPERATION, MOVE_OPERATION, EXTRACT_AND_MOVE_OPERATION, MOVE_AND_RENAME_OPERATION]"
Methods with the Metodo Longo smell in the first commit (A) = ,11
Methods without the Metodo Longo smell in the first commit (A) = ,1814
Methods with the Metodo Longo smell in the first commit (V) = ,80
Methods without the Metodo Longo smell in the first commit (V) = ,1747
Methods with the Metodo Longo smell in the first commit (X) = ,11
Methods without the Metodo Longo smell in the first commit (X) = ,1814
Methods with the Metodo Longo smell in the first commit (D) = ,14
Methods without the Metodo Longo smell in the first commit (D) = ,1811
Methods with the Metodo Longo smell in the first commit (R) = ,11
Methods without the Metodo Longo smell in the first commit (R) = ,1814
Total number of refactorings = ,123
Observed Positives (A) = ,123
Observed Positives (D) = ,123
Observed Positives (R) = ,123
Observed Positives (V) = ,123
Observed Positives (X) = ,123
Average of Observed Positives = ,123.0
Positive Predictions (A) = ,11
Positive Predictions (D) = ,17
Positive Predictions (R) = ,11
Positive Predictions (V) = ,100
Positive Predictions (X) = ,12
Average of Positive Predictions = ,30.2
Average of Predicted Over Average of Observed = ,0.24552846
Sample Size (A) = ,1948
Sample Size (D) = ,1948
Sample Size (R) = ,1948
Sample Size (V) = ,1948
Sample Size (X) = ,1948
True Negative (A) = ,1814
True Negative (D) = ,1811
True Negative (R) = ,1814
True Negative (V) = ,1747
True Negative (X) = ,1814
False Negative (A) = ,123
False Negative (D) = ,120
False Negative (R) = ,123
False Negative (V) = ,101
False Negative (X) = ,122
True Positive (A) = ,0
True Positive (D) = ,3
True Positive (R) = ,0
True Positive (V) = ,22
True Positive (X) = ,1
False Positive (A) = ,11
False Positive (D) = ,14
False Positive (R) = ,11
False Positive (V) = ,78
False Positive (X) = ,11
Accuracy (A) = ,0.9312115
Accuracy (D) = ,0.9312115
Accuracy (R) = ,0.9312115
Accuracy (V) = ,0.90811086
Accuracy (X) = ,0.93172485
Precision (A) = ,0.0
Precision (D) = ,0.1764706
Precision (R) = ,0.0
Precision (V) = ,0.22
Precision (X) = ,0.083333336
Recall (A) = ,0.0
Recall (D) = ,0.024390243
Recall (R) = ,0.0
Recall (V) = ,0.17886178
Recall (X) = ,0.008130081
F1-measure (A) = ,NaN
F1-measure (D) = ,0.042857144
F1-measure (R) = ,NaN
F1-measure (V) = ,0.19730942
F1-measure (X) = ,0.014814815
